statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec,firstthought_sentiment,tpfeel_sentiment,benefit_sentiment,eitcthink_sentiment,taxpayer_gap
Washington,1,2.0,1.0,money gone away.to the government,1,89.0,my last check and when i buoght something,alright,fica,1.0,fica soc,0.0,no,people and things ok.lets move on,nothing at all ok. move on,no,33.0,rebulicans,3.0,,2.0,great thing for people ok.,1.0,2.0,2.0,1.0,60,1.0,3.0,2.0,4.0,2,1,6,5,3,48,35,4.0,9.0,1.003785803,0,1,-1,1,1.0
California,2,2.0,,when you go file at h and r block ,1,83.0,when i went to the macys i hd to pay tax for purchasing cologne,ok i really dont mind i meand its to help with others that are not able to work ,i dont know to be honest with you,1.0,i dont know i pay taxes all the time on my chevcks,5.0,no,for people who could not work and to the city,"for people that are l,azy and dont want to work ",i have and i have not its a lot that they take out over here in ca,65.0,its not good for the goverment to waste because it hurts and takes away from everyone not fair,1.0,nothing it did not it was better ,1.0,you  get more for filing for your kids,2.0,4.0,1.0,1.0,97,1.0,2.0,1.0,1.0,3,3,3,1,1,5,53,3.0,11.0,1.834465926,-1,1,0,0,7.0
,1,1.0,4.0,they going up no matter how much they say they not,1,76.0,if you buy anything there is three or four taxes on thing's depends on what regen you stay in,we pay taxes on evreything we buy every year  that's not right ,55% of my take home pay is taxes,1.0,fed/fica/state/,3.0,yes,"welfare , school, books, roads,freedom","wast it self,, they closed the gov but got paid come on now we dont get paid holladays any more why should they ",no,85.0,half of what they dont talk about ,1.0,we get to pay off the gas bill light bill catch up on rent start the kids a bank account only to have to use it three or four mouths later on something ,1.0,it helps out ,1.0,6.0,4.0,1.0,70,1.0,1.0,2.0,4.0,2,1,6,1,1,53,36,5.0,10.0,1.131171593,-1,-1,-1,1,14.0
California,2,2.0,4.0,Our government wanting to take more of our hard earned money. Loosing more money for things that are usually not even worth paying for like studies of stupid things that really don't amount to anything.,1,91.0,I pay taxes every day. If you buy something you are paying taxes for it.,It sucks because I am the one working to earn this money. The government doesn't.,federal taxes,1.0,"federal, state, social security, medicaid ",4.0,no,I think its good that they pay for social security. I am sure there are other good things they pay for but right now I can't think of anything else.,All of these research test that the government thinks are necessary. Do we really need to know about cow farts and other such things?,No I do not.,60.0,"Research, dinners, painting the white house, etc.",1.0,I usually get a little bit more back,2.0,I think they are both good. It kind of gives a little bit of a tax break to people.,9.0,5.0,4.0,1.0,4,1.0,4.0,1.0,4.0,4,4,6,4,3,5,32,1.0,11.0,0.3930594,-1,-1,-1,1,1.0
Florida,2,3.0,2.0,internal revenue service owing momey,1,60.0,October 2014 to new York state,nothing special,federal,1.0,"federal, state,city,disability,fica",0.0,my husband,I do not know what they pay for,congress and the senate and lazy civil employees,no I do not feel that I benefitted,40.0,i cannot think of anything....but people collecting welfare who do not deserve it,4.0,,4.0,,1.0,4.0,4.0,1.0,40,1.0,3.0,3.0,4.0,1,1,6,1,1,10,25,1.0,16.0,0.506566333,0,-1,-1,0,30.0
Pennsylvania,1,2.0,2.0,"something that has to be paid every year,  but it also makes me cringe, because I knoew the taxes are going up again",1,71.0,"3 months ago, a tax which is decided upon where I live and what kind of home I live in","no so good, the taxes are to much for what I make",school taxes,1.0,"school taxes,   single tax,   tax on where you live,  tax on what you live in",2.0,0,"police officers,  firwfighters",people abusing the welfare system,not at all,40.0,"trying to take rockets into space,  its a waste of billion and billions of dollars every year",3.0,,2.0,it all depends on how much a person makes throughout the year  and how big their family is,6.0,7.0,2.0,1.0,20,1.0,2.0,2.0,4.0,2,2,3,1,1,39,25,1.0,12.0,0.429536552,0,1,0,0,19.0
California,2,3.0,4.0,Taxes are too high on the middle class and too low on the upper class,1,71.0,The last time I made a purchase,"It sucks, we're all paying taxes and those tax dollars are being wasted","Gas tax, grocery tax, utility tax. My whole budget is taxed.",1.0,"Federal income tax, state income tax, FICA, disability tax",0.0,None,"Cancer research, Smooth roads",The food stamps that people receive who don't need them,"No I don't, so many of our tax dollars are wasted",80.0,"The military paying too much for things they use, being over charged by contractors",3.0,,2.0,I don't have a problem with it,5.0,4.0,3.0,1.0,2,2.0,2.0,1.0,4.0,1,1,3,3,3,5,24,1.0,5.0,0.312191688,-1,-1,-1,1,19.0
Michigan,2,3.0,2.0,that i may have to pay money to the goverenment as being a sitasin,2,61.0,when i worked as constrution as flag person,at that time i go money back,it don't,1.0,social secerity,0.0,no,i receive social secerity and sepamental secerity income from government,i am not upset of my tax dollar,"yes, i receive government money",10.0,aleion that come into the United States,4.0,,1.0,very nice indeed,9.0,,4.0,2.0,50,2.0,,3.0,4.0,4,4,6,3,3,23,35,1.0,1.0,0.427902551,-1,0,1,1,29.0
New York,2,3.0,1.0,we get double taxed on our social security,1,80.0,today I paid sales tax when I bought some candy,I feel that I am being taken advantage of since I am single,I do not budget for axes since I do not know what I will owe so I just pay what is due,1.0,"medicare, social security, disability",0.0,0,"schools, infrastructure, and health care for those who can't afford it",the rich who get the same benefits that I do and do not need them,I can't think of a single way I have benefited from paying taxes,49.0,"hiring more people in government than are necessary, paying medicare and medicad bills that are frauculant",3.0,,3.0,,6.0,2.0,1.0,1.0,1,1.0,2.0,2.0,4.0,2,1,3,3,1,33,10,1.0,12.0,0.627845355,1,1,0,0,10.0
New York,2,5.0,1.0,"income and sales taxes, payroll taxes",2,71.0,before I went on disability,good; productive member of society,"sales, I guess",1.0,"FICA, state, federal, local",0.0,no,"food stamps, Medicaid, foreign aid, NIH, CDC",subsidies to rich farmers,"I get Medicare, Social Security",2.0,"defense spending, agriculture",3.0,,3.0,,6.0,1.0,1.0,1.0,83,1.0,2.0,1.0,4.0,2,1,3,5,1,33,28,1.0,13.0,0.503497879,0,1,1,0,19.0
Kentucky,2,2.0,2.0,Taxes that are charged on everything you own and your job,1,70.0,"Pay taxes everyday. Taxes are imposed on your income, gas, consumer products, property, vehicles",I don't feel like there should be so many taxes on everything,property,0.0,,0.0,0,"For our local government. fix roads, school",The waste of our leaders. They squander everything they can from the working man. The upper class live like kings on the taxpayers backs. ,"better roads, infrastructure.",81.0,The rich that keep getting tax breaks because they are rich. The working man is taxed to death so the rich can wallow in their money,2.0,We usually have to pay in. When our daughter was younger we got some money back,1.0,I think it is a great credit for the men and women who are the ones who are struggling to pay for everything a household needs,9.0,2.0,4.0,1.0,27,1.0,3.0,2.0,4.0,1,1,6,1,1,18,36,1.0,5.0,0.343243209,-1,-1,1,1,20.0
Massachusetts,2,2.0,4.0,"more money, more money, always want more money",1,75.0,"every paycheck, town taxes, state taxes, federal taxes, social security taxes",like a sucker cause it goes to the ones who dont wanna  work,"yearly taxes, we owe, we owe so off to work we go",1.0,"state, federal , fica, social security",1.0,yes 19 year old at college,"schools, education, streets and street repairs","the scumbags that work the system, the women who have baby after baby and cant afford them",no no and no,90.0,their stinking salaries,4.0,,4.0,,2.0,4.0,4.0,1.0,20,1.0,4.0,3.0,4.0,3,4,6,1,1,22,28,1.0,17.0,1.294973709,1,-1,-1,0,15.0
Pennsylvania,2,3.0,1.0,a necessary evil - something everyone should pay their part of,1,66.0,last month paid property taxes,doing my part in supporting America and the programs that are needed for young and old,property taxes are a huge chunk of money,1.0,federal - state - local - medicare - ,3.0,no,school food programs  - no kids should go hungry ,grants for crappy art programs,a little but not as much as other people,40.0,salaries for government senators & reps and all their perks,1.0,lowers what we had to pay,1.0,it's very helpful for families with children,2.0,2.0,2.0,1.0,20,1.0,3.0,2.0,4.0,1,1,6,1,1,39,26,1.0,13.0,0.503497879,-1,1,0,1,24.0
Kansas,2,6.0,1.0,money owed to the government used for necessary services,1,61.0,sales tax on food purchased ,ok.  it is my responsibility to pay my part of the government's expenses.,income tax - I think,1.0,"income tax withholding, unemployment withholding, social security, medicare",0.0,no,"social services, medicare and social security, military (somewhat), infrastructure, schools, ","I'm upset that I pay a higher percentage than many with a higher income.  support for projects that are not needed but that a politician wants,  unnecessary wars, ","yes. Schools, infrastructure, protection, social security, medicare, money for scientific research and arts ",30.0,"politicians pet projects, some weapon projects.  I;m sure there are more   ",3.0,,1.0,I think that there are people who need financial help.  these are ways to help those who are employed at low wages.  they would not be needed if there was a living wage paid for all jobs.,6.0,2.0,1.0,1.0,40,1.0,1.0,1.0,2.0,2,1,3,3,1,17,15,1.0,11.0,0.787470485,0,1,1,1,29.0
California,2,2.0,4.0,Time to start looking for a good place to get my taxes done and Hoping I get some money bsvk,1,49.0,Last year I had to pay taxes,It feels good like I'm doing my part,all kinds of taxes that's what I think,0.0,,0.0,its just me,For all the kids out there that need it,Helping people when they could work but don't try, / Yea of course I've benefited on getting a car,39.0,I don't really know,3.0,,3.0,,7.0,4.0,3.0,1.0,41,2.0,3.0,2.0,2.0,1,2,1,4,3,5,59,3.0,3.0,5.000084473,1,1,0,0,41.0
California,2,2.0,1.0,"I think that I can't wait, because this is money I would get a refund",1,98.0,I would buy something and would have t3o pay taxex,I fell this is something everyone have2 to do,calothes andq food,1.0,don't know,2.0,2,helps me get something new,I am not upset. I am not upset abot anything,yes. because I would get it back at the end of the year,100.0,expenses home and cars,1.0,it helps alot,3.0,,4.0,4.0,2.0,1.0,100,1.0,2.0,1.0,1.0,1,1,6,1,3,5,35,1.0,6.0,0.3930594,0,0,1,0,8.0
South Dakota,2,3.0,6.0,"More money gone, less money for spending.",1,73.0,"Yesterday when I bought a can of kidney beans, paid 6% sales tax.",I don't mind paying taxes.  I get upset that some people play the system and us who do pay taxes foot the bill.,federal income tax,1.0,"Federal income tax, Fica and medicare",0.0,no,Veteran's health care. Our military.  Some highways.,"The wasteful spending, like the bridge to nowhere, so cAlled art projects.","This is a hard question, yes and no, our tax dollars help pay for our military which is very important.  They also help pay for police, firefighters, etc.",59.0,duplication of efforts.  paying outrageous prices for items because you are limited where you can order instead of looking for lowest price.,3.0,,1.0,"I personally think they should do away with it.  I use to do taxes and people abuse this and milk the government for all they can,and it is us honest people who end up paying for it in the long run.",6.0,4.0,2.0,1.0,39,1.0,2.0,2.0,4.0,2,1,6,1,1,42,12,1.0,13.0,0.923063978,0,-1,1,-1,17.0
Pennsylvania,1,2.0,4.0,Internal Revenue Service state and local,1,73.0,2007 is the most recent I will be filing again this year,troubling to have too pay taxes when you make less than poverty,school taxes and local,1.0,unemployment social security right to work fica ,0.0,0,too help people oin   this country,money being sent over seas to help other NAtions,I am on SSI now ,40.0,research for enviroment,2.0,It has not effected me ,4.0,,9.0,,4.0,2.0,3,2.0,4.0,3.0,4.0,1,1,1,5,3,39,33,1.0,1.0,0.341164062,0,-1,0,0,17.0
Wisconsin,2,6.0,1.0,governement wanting more money to pay for stupid stuff,1,78.0,at the gas station today vwhen i bought gas and a snack,sucks because tey eep raising taxes but cut funding to important things like education,income,1.0,state federal social security,1.0,1,the roads tht i drive to work everyday on,military spending and giving money to other countries when we clearly need it here,no not at all when my son is having classes in a closet because there is not enough room for all the students,92.0,military spending giving to other countries,2.0,doesnt really we still have to ay in every yer,3.0,,1.0,2.0,3.0,1.0,1,1.0,3.0,3.0,1.0,1,2,6,1,1,50,44,1.0,13.0,1.154111704,-1,1,-1,0,12.0
California,2,3.0,4.0,"WHEN I HEARD THIS WORD""TAXES"" I FELT WORRIED AND UNHAPPY AS  IT MEAT I MUST SPEND THE MONEY TO SOMEONE OR SOME  PLACE TO GET WHAT I NEED ",1,79.0,SUCH AS DO SOME SURVEYS ONLINE TO EXTRA MONEY WHAT SHOULD I PAY THE FEES TO,NOT FELT SO STONGER ,MY HOUSE'S FEES,1.0,I COULD NOT RECALL ANYTHING,0.0,NONE,,,I'VE NO IDEAS,40.0,,2.0,NOT SURE,3.0,,1.0,4.0,3.0,2.0,41,2.0,4.0,3.0,4.0,3,3,6,1,1,5,47,3.0,17.0,5.000013911,-1,0,-1,0,11.0
California,2,2.0,4.0,"government, taking mre than their share and not getting much in return from them",1,70.0,paid sales tax on item purchased yesterday,terrible,sales,1.0," Fed. income, Disability, Soc. Sec., State income",0.0,0,Police and Fire protection,Paying for elected officials many many perks,do not see any thing that has benefited me personally,90.0,Elected officials saleries and perks,3.0,,3.0,,6.0,6.0,4.0,2.0,0,2.0,3.0,4.0,4.0,1,1,6,1,1,5,6,1.0,11.0,0.574527399,1,-1,0,0,20.0
Oregon,2,2.0,7.0,I generally think of the IRS,1,49.0,I paid taxes on gas in the last few days.,I get  used to it and just expect it.,Property Taxes on my home,1.0,"Fed Income Tax,  State Tax,",0.0,"Just the two of us, my spouse and me","Schools, roads, libraries, public transportation;","Welfare and health care for illegals, government waste","Yes;  I have access to libraries, public transportation, and better roads because of it.",20.0,"Presidential vacations - too many!, Unnecessary research; Too high of salaries for many employees",2.0,It gave me a credit towards my taxes and produced a refund;  This was YEARS ago.,1.0,It helps the working family in usually getting a refund which they can generally use.,6.0,6.0,2.0,1.0,19,1.0,2.0,4.0,4.0,1,1,6,1,1,38,17,1.0,13.0,0.673454506,0,0,1,1,41.0
Texas,2,5.0,4.0,Obama to raise them so he can support his Marxist/socialist agenda and raise the welfare recipients paychecj,1,51.0,3 days ago it was a sales tax,"Makes me madder than hell to pay my taxes and have the welfare recipients suck it out to sit on their butts, do drugs and not work at all.","Sales tax, income tax",1.0,"FICO, SS, ",0.0,no,Not a damn thing at this point.,"All of the waste and government corruption and greed, the welfare system, the SNAP program, and the double dipping of the programs.  Sometimes as many of 10 or more that do the same thing.","No, only the welfare and illegals benefit from my tax dollars.",53.0,"Welfare, Medicaid, government spending, the executive branch, state department, EPA, Commerce, education, any and all other government agencies.",3.0,,1.0,It needs to be eliminated because it leads to fraud and abuse.  Such as the illegals getting the child credit when they are not qualified to receive any government benefits.,1.0,7.0,1.0,1.0,0,1.0,1.0,1.0,1.0,2,1,3,1,1,44,9,1.0,,0.759489452,1,-1,1,-1,39.0
Oklahoma,1,6.0,2.0,money paid for government support,1,89.0,sales tax on store purchase,priveledged,income,1.0,fica / medicare / social security,0.0,no,government / roads / bridges / law enforcement / military,frivolous research / arts / ,"yes, can drive safely",45.0,"perks, pork and graft",3.0,,3.0,,5.0,5.0,3.0,1.0,63,1.0,3.0,3.0,4.0,1,2,6,5,1,37,28,1.0,17.0,1.302865633,1,0,1,0,1.0
Florida,1,3.0,7.0,cheating me out of my hard earned money,1,66.0,at the grocery store. What more do you want me to say?,like a bitch,groceries,1.0,federal,2.0,2,social security what else do I need to state?,everything that I do not feel that I have to pay for,no,91.0,obamas travels,1.0,not good enough,3.0,,1.0,6.0,2.0,1.0,28,1.0,3.0,2.0,4.0,2,1,3,1,1,10,45,1.0,17.0,2.38104843,-1,-1,-1,0,24.0
North Carolina,1,2.0,4.0,to high government waste too mush,1,10.0,"out of my pay check and last time I got gas, food",going to people who will waste it,payroll taxes,1.0,fica social securty,0.0,1,"fixing road, street lighting",given to things to see something,no,81.0,pot belly stuff,3.0,,1.0,people have kids so they can get some,2.0,6.0,2.0,1.0,5,1.0,3.0,3.0,4.0,2,1,4,3,2,34,25,1.0,8.0,0.432154266,-1,-1,-1,0,80.0
Delaware,1,6.0,6.0,paying money to government,1,71.0,paid income tax to state and fed gov,like I am being ripped off,social security tax,1.0,fed tax / state tax / med tax / fica,3.0,yes-wife,paying to pave roads and for libraries,welfare for people who don't deserve it.,"no, not at all.  I earn my money, and my taxes go to those who do not work for it.",60.0,"wastes of time, resourses...",3.0,,3.0,,1.0,6.0,4.0,1.0,30,1.0,3.0,4.0,4.0,2,1,3,1,1,8,47,1.0,17.0,2.38104843,0,1,-1,0,19.0
Texas,2,5.0,2.0,"april 15th, credit cards, grumpy",1,51.0,last year I owed several hundred dollars,it's not fun and I dread tax time in April,not sure,1.0,social security,0.0,0,"roads, police, fire department","subsidies, buyouts, etc for wall street and corporations","yes by driving on roads, being protected by police and fire departments",39.0,bureaucratic waste and inefficiency,3.0,,2.0,I'm fine with it,1.0,2.0,3.0,2.0,41,2.0,3.0,1.0,4.0,1,1,6,5,3,44,53,1.0,12.0,0.789782315,1,-1,1,1,39.0
Maryland,1,3.0,3.0,Taxes on salary and other income.,1,62.0,I paid sales tax on my lunch,It feelslike being part of the country,property tax is largest part of my budget,1.0,"state income tax, FICA, Social Security, gross salary, health insurance",0.0,0,National defense and education,tax credits to corporations for political advertising,"yes, I receive social security retirement payments",20.0,"overpaying for products, missing 100 billion dollars shipped ti Iraq in 2003",3.0,,1.0,"it is a good thing for thoose who work, but do not earn enough to get by",6.0,4.0,4.0,1.0,68,1.0,1.0,5.0,4.0,2,1,3,3,1,21,16,2.0,7.0,1.613148041,0,0,1,1,28.0
California,2,3.0,2.0,helping the country run effectively with all our help,1,82.0,in my paystub/paycheck on the 1st,"ownership and responsibility feels fine, enjoy contributing",SS and medicare out of our checks,1.0,"SS, medicare, state, CA SDI, federal",0.0,0,"police/firemen, my Medicare benefits and social Security",I'm not upset over paying taxes other than high amount,yes since I'm not receiving SS and Medicare and getting what I've put into that so many years,19.0,"too many disorganized branches, not weeding out unused agencies",3.0,,2.0,great for family assistance,2.0,3.0,2.0,1.0,43,1.0,2.0,3.0,3.0,1,1,6,3,3,5,16,1.0,13.0,0.673454506,1,1,1,1,8.0
Pennsylvania,1,5.0,1.0,rich people not paying enough of them,1,70.0,"sales tax on a purchase, excise taxes on cigarettes",necessary evil,income taxes,1.0,"social security, payroll",1.0,no,"NASA, science grants, social welfare, medical research","military, subsidies for companies that don't need them","somebody has to pay for schools, police, firefighters, road maintenance, etc.",25.0,$1000 screws for fighter planes,2.0,minimally,2.0,I'll take whatever credit I can get these days,1.0,2.0,1.0,1.0,10,1.0,2.0,4.0,4.0,2,1,3,1,1,39,33,1.0,15.0,0.503497879,1,-1,-1,1,20.0
Nevada,1,5.0,6.0,April 15th compiling all my receipts and documents to do my taxesnonline so I can get a refund ,1,81.0,Today when I made a purchase I paid sales tax,I am doing my part just like most other Americans,FITW,1.0,"Fitw,Fica",0.0,0,"Military, interstate highways, FBI",Welfare that is paid out via fraud,No,20.0,welfare thatbis paid out fraudulently,3.0,,3.0,,6.0,4.0,3.0,1.0,52,1.0,3.0,4.0,4.0,2,1,1,1,1,29,26,3.0,15.0,1.176626343,0,1,-1,0,9.0
California,2,4.0,3.0,"not happy,always being charged more feels like",1,34.0,"last year, paid income tax","very unhappy, and feeling ripped off",no idea,1.0,"State tax, city tax",0.0,0,can't tell now and don'r wish to share it here,"again, I'm not feeling comfortable sharing that info here",none,51.0,Government official'x expenses,3.0,,3.0,,1.0,3.0,2.0,1.0,55,1.0,2.0,2.0,2.0,1,1,6,5,3,5,42,4.0,12.0,1.834465926,1,-1,0,0,56.0
Maryland,2,6.0,1.0,money paid by citizens to fund government services,1,71.0,paid sales tax on a purchase yesterday,"dutiful, responsible",income taxes,1.0,"Social Security, Medicare, Unemployment, Federal, State",1.0,yes,"multiple government services including roads, safety, emergency services government functions, aid to poor and homeless, schools",subsidies to pay people not to produce food,"Yes,  roads, public safety, educational services, etc",10.0,"Subsidies that reduce productive activity, bureacracy",1.0,very helpful to allow me to support my family,1.0,I think they can be a help for people who want to work and support their families,1.0,2.0,2.0,1.0,51,1.0,2.0,2.0,3.0,2,1,3,1,2,21,35,2.0,19.0,3.327227455,0,1,1,1,19.0
Arizona,1,2.0,4.0,money the government steals from us,1,75.0,tax buying groceries at the store,its a good thing but is not being directed to the right places,income,1.0,federal state fica,2.0,no,police fire roads mail freeways,corrupt politicians that don't do their job,not really,90.0,politicians war funding big businesses,1.0,it helps out a bit in the end,1.0,it helps americans get some of their money back,1.0,4.0,2.0,1.0,1,1.0,3.0,2.0,4.0,1,1,6,1,1,3,37,1.0,13.0,0.460739774,-1,1,0,1,15.0
Indiana,1,3.0,1.0,less disposable income and more spending,2,60.0,i paid my back state taxes for 2010 in Feb 2014,death and taxes two sure things,None,1.0,"Federal, state, local, SS Taxes, medicatre Taxes",0.0,no,"defense, infrastructure, education",pork barrel spending in congress,"yes, the roads and my safety",19.0,duplication of grants to study things of no conciquence,3.0,,3.0,,9.0,3.0,3.0,1.0,39,1.0,3.0,2.0,4.0,2,2,3,5,3,15,24,1.0,7.0,0.538743107,0,-1,1,0,30.0
Indiana,2,5.0,4.0,money I have to pay to the IRS,1,50.0,"Last month, I paid property taxes, and I always pay sales tax when I purchase something.",It can be annoying.,income tax,1.0,"social security, and state and federal taxes",0.0,no,I am glad my taxes pay for social programs.,I am upset that my taxes pay for the many wars in which we are involved.,I benefit when i receive services from social programs and when social programs benefit others about whom I care.,80.0,I thought of the wars on which the government spends money.,1.0,"Wehn I qulified for it, I received some money and it helped a lot to pay for necesities.",1.0,I think it's a good program and it helps people who need it.,2.0,2.0,2.0,1.0,40,1.0,2.0,1.0,4.0,4,4,3,1,1,15,39,1.0,4.0,0.782012106,-1,-1,1,1,40.0
Florida,2,2.0,,"I dont like taxes. Not only do we have to pay for every single little thing in life, but we got to pay taxes on top of that. I dont like what the goverment does with our tax money either. They waste it and use it for themselves",1,83.0,I paid tax yesterday to buy some Chinese food,I dont like it. I prefer to not pay taxes ,"Taxes from my income. they take a lot from there, and i practically get nothing back",0.0,,0.0,0,Nothing. I want my money that I work so hard for every day,Government spending. Giving it to other countries,No I have not,100.0,They use it for their own personal use or give to another country,3.0,,3.0,,1.0,,4.0,2.0,2,2.0,4.0,1.0,,2,4,6,5,2,10,61,3.0,12.0,5.000082764,-1,-1,-1,0,7.0
Florida,1,2.0,4.0,paying sales taxes on itemes that you purchased from the store,1,70.0,"when i went to the grocery store for some food, ended up paying sales taxes on food","wish we wouldn't have to, pay extra money",groceries,1.0,"federal income tax, medicare employee tax",0.0,0,"re pavement of roads, construction for new stores and gas stations","pay tolls are a nuinace, on the highways, stop and take and find coins in your car",i have gotten those taxes back as a refund every year,40.0,usefull remodeling projects that arn't even needed,2.0,it gives us a little xtra money coming back,4.0,,1.0,6.0,4.0,2.0,40,2.0,4.0,2.0,4.0,1,2,3,5,3,10,49,1.0,9.0,0.789782315,0,1,0,0,20.0
Florida,2,2.0,7.0,dread finding out amount we have to pay always glad when tax time is over,1,39.0,last year we paid at tax time was a little less then usuall because we made less,burdened but also glad we make enough to have to pay taxes,federal tax we are not big spenders,1.0,federal and social secutity,0.0,0,"military, foreign aid, medicare","welfare, food stamps. giving money to people that have a better life style then we do",safety of our country,80.0,to much papper work in everthing the government does,3.0,,3.0,,6.0,6.0,1.0,1.0,40,2.0,2.0,2.0,4.0,1,1,3,1,1,10,16,1.0,13.0,0.74043831,-1,1,1,0,51.0
Ohio,2,2.0,4.0,a lot of money coming out of my check,1,96.0,taxes taken out of each pay check and sales tax.,it sucks,taxes taken out of my check,1.0,"fica, medicare, ss",1.0,no,I don't know exactly what all my taxes do pay for.,I really don't have a clue.,no not really,79.0,nothing in particular,1.0,it gave us more back in income taxes,4.0,,2.0,2.0,4.0,2.0,33,2.0,4.0,3.0,4.0,4,4,6,1,1,36,43,1.0,10.0,0.984578453,0,-1,-1,0,6.0
Illinois,1,4.0,3.0,government wanting my had earned money but it does help my community schools helps the town update the roads keeps thins modern I guess we  need them,1,90.0,this week property tax and every time I buy somthing,great,property,1.0,federal-state-social security,0.0,spouse,getting my grand kids a education fixing up the town like holes in the roads maintaining sewers  in general keeping the town up to date and making it a better place to live,political people that do not do anything to help the middle class,better place to live,24.0,there salary,1.0,helps a lot,2.0,like it,3.0,4.0,1.0,1.0,59,1.0,2.0,4.0,4.0,1,1,6,1,1,14,20,1.0,12.0,0.538743107,1,1,1,1,0.0
Virginia,1,1.0,4.0,government paid lifestyle,1,90.0,each time I shop for food,good,groceries,1.0,state federal ssi,0.0,0,my retirement low cost medical,things that government officials use for there projects that do not benefit us.,"yes, retirement",60.0,politic seats  parties lifestyles,3.0,,3.0,,6.0,6.0,3.0,1.0,40,2.0,4.0,3.0,4.0,3,3,6,3,1,47,20,1.0,3.0,0.343243209,0,1,1,0,0.0
Texas,1,5.0,6.0,"gov't burden, wasteful, currently hamstringing the economy",1,51.0,"day-to-day we get hit for 8.25% sales tax.  annually property taxes.  federal and state fuel taxes on gasoline purchases.  many other franchise taxes and fees on telecom and utility related services.  federal income and social security taxes, medicare taxes","i'd feel much better about it if i had confidence in the people, philosophies, and practices of the various gov't levels levying taxes, regarding how they spend and waste my money",property taxes,1.0,"federal withholding, fica, medicare",0.0,0,"military defense, local fire, police, and school services","handouts to unfriendly foreign gov'ts, the redistribution of wealth through entitlement and H&W program acceleration, the lowering of standards to qualify for welfare related support",it depends on the levels of gov't.  taxes are better focused on local needs locally.  the federal gov't has lost it's way regarding what it's purpose is,31.0,"fraud, abuse, ridicuously special interest driven spending, foreign handouts",3.0,,4.0,,4.0,6.0,2.0,1.0,19,1.0,2.0,4.0,4.0,2,1,1,1,1,44,23,1.0,14.0,0.506566333,-1,1,1,0,39.0
Indiana,2,1.0,4.0,the government taking our money to over pay themselves,2,81.0,2011 was the last year that i was required to pay taxes,irritating,social security tax,0.0,,2.0,0,food programs such as WIC and SNAP,the wages of governments highest employees,used WIC when my older children were small,66.0,"government officials' wages, decorating the white house, expensive foods and travels for political officials",1.0,a bit extra back to pay off debt,4.0,,9.0,3.0,2.0,1.0,42,2.0,2.0,2.0,2.0,1,2,6,3,4,15,33,1.0,12.0,0.538743107,-1,-1,0,0,9.0
New Jersey,1,2.0,,Are you Ok brother.. / I am Sick,3,12.0,Are you Ok / i am sick brother,Are you Ok / i am sick brother,Are you Ok i am sick brother,0.0,,0.0,Are you Ok i am sick brother,Are you Ok / i am sick brother,Are you Ok / i am sick brother,Are you Ok / i am sick brother,12.0,Are you Ok i am sick brother,4.0,,4.0,,,,,2.0,0,,,,,4,4,6,1,5,31,54,2.0,4.0,1.592262766,-1,-1,-1,0,78.0
North Carolina,1,5.0,,the wealthy getting away with not paying enough,1,81.0,today when I bought gas for my car,like I am doing my part to help the country,income ,1.0,federal / state / unemployment,2.0,3,public schools and roads to drive on,I do not know enough to really be upset,yes with public schools for my children,92.0,spending money unnecesarily,4.0,,4.0,,1.0,2.0,4.0,1.0,15,1.0,4.0,5.0,,4,4,6,1,3,34,38,1.0,12.0,0.789782315,1,1,1,0,9.0
California,2,4.0,4.0,government overspending on projects,1,71.0,yesterday   sales tax on purchases.   ,sometimes it feels responsible  other times it is burdensome...depending  on the tax.,at this point probably sales tax as we are retired so income tax is no longer what it once was to us,1.0,sai    fica   ,0.0,no,aid to those who really deserve it and are entitled to it by law.  not those services that go to illegals and those who abuse the system.  also those that pay for infrastructure. are valuable,"illegals,   handouts to those abusing the welfare systems","sure...improvements in our roads, medicare to which I am entitled.",52.0,over payment for jobs...overspending for supplies.   giving away money to those people who are to entitled to it.   ,3.0,,2.0,i suppose if it is a legit necessity it is great.  but these are the things that are always abused.,6.0,4.0,2.0,1.0,29,1.0,2.0,4.0,1.0,1,1,3,1,1,5,17,1.0,10.0,0.574527399,0,1,1,-1,19.0
New York,1,2.0,4.0,my money that lines pockets in government,1,100.0,"everytime i work and get paid,when shopping,","ripped off,i dont see my money at work","social security,county tax on everything,ny state tax on everything.",1.0,"ss,ny,disability,",1.0,yes,"nothing,if you need anything they act like they are doing you a favor,its my taxes.","overpaid politicians that have their  interest in mind,not the ones that have to pay them.","no,",81.0,"congressmen,senators,overpaid to make decisions for underlings",1.0,"just giving my money back,its my money after all",2.0,"county and state and federal taxes,they should pay me more",1.0,4.0,2.0,1.0,1,2.0,2.0,1.0,4.0,1,1,6,1,1,33,29,1.0,11.0,0.429536552,0,0,-1,-1,10.0
